单词,次数
line,37513
test,19075
input,15568
integer,14719
contains,14406
output,14139
integers,10836
lines,10820
single,8883
time,7886
following,6082
program,5729
set,5631
containing,5505
game,5483
sequence,5038
length,4780
print,4689
value,4679
consists,4589
data,4547
example,4445
string,4215
left,4116
contain,4043
file,4023
space,3955
followed,3683
positive,3655
th,3612
ample,3538
separated,3536
position,3489
characters,3404
indicating,3396
means,3232
player,3017
multiple,2966
contest,2941
exactly,2914
write,2870
move,2869
hen,2820
total,2702
task,2699
minimum,2659
blank,2637
answer,2632
follow,2605
letters,2547
assume,2524
word,2445
list,2430
tree,2427
sum,2416
help,2380
digits,2363
square,2317
day,2301
city,2264
maximum,2250
character,2248
coordinates,2238
starting,2219
grid,2186
words,2148
times,2139
distance,2132
name,2099
path,2084
format,2049
row,2034
empty,2015
decimal,2005
board,1988
form,1972
values,1955
indicates,1911
starts,1895
start,1854
pair,1843
representing,1837
people,1798
spaces,1793
connected,1791
blocks,1775
result,1763
equal,1759
below,1748
cards,1736
size,1718
top,1713
letter,1689
called,1688
choose,1678
digit,1662
zero,1654
follows,1654
represents,1651
team,1609
ll,1594
text,1591
using,1581
node,1562
solution,1561
map,1550
shown,1543
determine,1540
begins,1528
university,1523
edge,1509
numbered,1506
cost,1503
road,1484
table,1474
function,1467
card,1464
description,1460
cell,1457
block,1455
amount,1434
system,1431
calculate,1424
sample,1424
range,1404
column,1401
course,1397
height,1389
figure,1386
score,1383
round,1372
described,1362
pairs,1358
direction,1356
consist,1345
cities,1330
matrix,1324
code,1323
message,1315
respectively,1305
simple,1296
moves,1294
computer,1294
training,1282
adjacent,1280
ow,1278
operation,1274
corresponding,1272
found,1271
graph,1266
pieces,1264
nodes,1258
multi,1255
otherwise,1237
strings,1232
type,1232
white,1231
sets,1221
initial,1212
color,1210
rules,1197
players,1195
please,1190
edges,1177
appear,1172
beginning,1167
squares,1158
minimal,1145
query,1141
play,1134
takes,1120
job,1113
unit,1100
polygon,1099
change,1092
roads,1086
location,1086
coordinate,1084
bit,1081
third,1074
note,1071
solve,1063
vertex,1062
negative,1062
key,1056
final,1053
tell,1039
bottom,1037
rows,1037
black,1034
represent,1034
lower,1030
original,1030
positions,1026
piece,1016
shortest,1015
field,1015
floor,1013
person,1001
special,999
base,999
ball,992
process,989
binary,989
wall,986
real,985
according,985
power,979
route,968
information,966
defined,960
considered,956
step,953
days,951
terminated,947
decided,941
win,941
current,938
weight,936
required,930
represented,923
scenario,920
programming,918
regional,918
money,917
reach,916
operations,910
plane,905
written,904
names,902
speed,901
units,901
common,899
students,898
consider,892
box,892
specified,891
series,888
denoting,886
cells,877
segment,868
describe,866
segments,866
trees,862
array,862
able,862
level,860
columns,860
network,860
valid,857
correct,855
elements,855
center,853
water,846
circle,840
xi,840
company,837
machine,834
cows,826
expression,824
hand,818
giving,817
travel,810
playing,809
consisting,808
distinct,805
hey,804
country,802
guaranteed,800
own,800
little,799
picture,796
separate,795
hat,788
paper,786
five,784
question,784
goal,783
exists,782
instance,781
puzzle,779
element,778
corner,776
largest,776
probability,774
house,772
price,768
comes,768
robot,768
exceed,767
cut,767
placed,765
it's,765
instead,760
triangle,758
kinds,757
indicate,752
upper,752
standard,751
stones,750
impossible,748
world,747
unique,747
consecutive,746
mod,735
run,735
width,735
call,731
station,728
count,722
read,719
sequences,719
build,708
rectangle,707
straight,694
red,690
building,690
steps,689
allowed,688
rectangular,688
including,685
prime,683
target,682
processed,682
except,677
describing,674
lot,671
king,668
student,667
light,667
destination,666
horizontal,661
denotes,660
command,652
friends,649
indicated,648
maze,646
locations,645
describes,643
rule,639
inside,638
can't,638
printed,638
car,637
rounded,635
easy,635
tiles,634
cube,634
clockwise,634
balls,633
int,630
magic,629
don't,628
minutes,627
coins,624
wins,623
remaining,619
pattern,618
ob,616
stands,615
attack,614
add,614
games,608
vertical,606
meaning,605
moving,604
radius,599
larger,599
rite,595
region,592
plan,589
played,589
compute,586
buy,585
period,585
located,582
date,582
ones,581
lowercase,580
define,579
particular,578
teams,577
object,575
inclusive,574
dataset,573
optimal,571
exist,571
available,569
pass,566
marked,565
connecting,559
types,558
dictionary,556
stop,555
tile,552
zeros,552
chosen,550
home,549
decide,549
hole,545
shape,543
image,543
random,542
complete,541
return,540
immediately,540
results,540
energy,540
assigned,539
six,539
divided,538
solutions,538
yes,536
colors,533
stone,532
street,531
maximal,530
finally,529
et,524
friend,524
algorithm,520
intersection,520
rank,519
error,519
match,517
cross,517
bi,513
index,513
etc,513
increasing,511
surface,510
walk,509
difference,509
queries,508
begin,506
finish,504
paths,503
strategy,502
makes,502
leading,501
visit,499
degree,499
permutation,497
girl,494
connect,493
doesn't,492
root,491
id,491
land,490
listed,490
built,488
satisfy,485
interval,485
based,483
product,482
class,482
free,481
goes,479
local,479
enemy,477
