µ¥´Ê,´ÎÊý
the,96821
of,42424
is,27099
to,25309
and,25199
in,18893
each,15738
line,14206
for,12947
number,12514
are,12018
that,10450
case,10213
one,9356
you,9063
test,9040
be,8727
with,7802
there,7522
can,7012
by,6905
will,6876
if,6694
first,6645
two,6549
contains,6478
as,6249
integer,6235
it,6154
an,6099
he,5727
on,5636
output,5394
at,5238
integers,5062
which,4984
all,4863
from,4836
input,4785
this,4633
or,4374
cases,4351
has,4281
lines,4164
not,4049
then,3661
no,3467
so,3165
have,3130
only,3054
we,2907
should,2892
than,2849
single,2718
time,2706
numbers,2633
they,2531
given,2505
more,2494
contest,2468
some,2374
your,2253
his,2235
between,2222
same,2219
but,2113
following,2101
after,2086
every,2046
next,2030
problem,2025
print,1968
value,1960
now,1954
any,1954
game,1949
when,1890
string,1825
three,1821
where,1773
length,1766
point,1758
many,1757
indicating,1754
th,1722
other,1711
may,1707
means,1678
second,1677
them,1675
different,1654
sequence,1632
order,1618
get,1600
containing,1560
set,1540
end,1473
must,1459
answer,1453
university,1420
know,1405
how,1397
its,1389
positive,1385
consists,1376
most,1364
example,1362
possible,1338
up,1318
several,1316
find,1313
their,1288
points,1285
left,1283
these,1273
was,1270
right,1270
into,1268
out,1260
program,1244
multiple,1242
wants,1239
contain,1226
training,1218
multi,1211
make,1190
follow,1176
such,1174
position,1147
she,1129
space,1126
data,1116
sum,1104
always,1086
followed,1075
last,1071
also,1054
city,1050
help,1045
new,1023
player,1016
file,1013
tree,1000
total,991
minimum,985
least,977
just,964
move,958
characters,951
do,950
very,941
want,934
above,934
him,925
please,919
day,918
indicates,917
would,908
need,905
separated,894
exactly,893
regional,887
maximum,881
like,878
task,870
four,864
assume,860
round,855
times,848
could,810
way,799
choose,794
write,781
use,779
grid,766
note,763
who,762
distance,760
her,749
about,734
people,733
path,729
representing,727
letters,725
both,719
starting,716
take,709
query,707
node,706
because,695
edge,693
cost,693
graph,690
less,687
digits,685
another,681
word,681
start,679
calculate,677
format,673
character,671
otherwise,665
list,659
what,655
starts,651
decimal,644
programming,643
result,642
give,641
name,637
team,633
before,631
operation,631
blank,630
words,629
square,629
coordinates,617
empty,613
represents,612
equal,611
go,605
connected,601
road,601
cards,597
denoting,597
size,592
figure,587
form,585
through,585
edges,585
down,584
matrix,581
below,580
however,580
cities,579
called,578
numbered,577
long,574
once,574
follows,572
cannot,569
here,568
color,567
values,565
begins,563
pair,562
part,562
non,560
either,558
board,554
been,553
area,553
row,548
used,547
score,535
height,532
nodes,532
top,529
card,521
too,518
place,516
letter,515
strings,513
cell,510
turn,501
without,501
does,499
zero,498
course,497
type,496
tell,495
while,487
range,486
using,481
were,479
even,472
play,470
system,466
map,465
white,463
see,462
bob,462
simple,460
initial,459
roads,458
solve,456
sample,454
whether,454
operations,454
code,454
blocks,453
let,451
black,451
since,450
whose,449
change,449
per,446
respectively,440
amount,439
spaces,438
solution,437
vertex,434
negative,433
described,433
good,432
adjacent,428
large,428
coordinate,422
those,420
direction,420
had,417
pairs,416
digit,415
side,413
process,412
text,412
found,411
kinds,411
message,407
put,403
guaranteed,403
computer,402
rules,400
players,400
kind,399
needs,397
shown,395
ball,395
host,395
mod,394
beginning,393
original,390
it's,388
person,388
made,387
problems,387
consist,387
considered,387
room,384
ends,382
gives,381
ways,380
third,380
magic,379
until,378
much,378
block,377
well,377
bit,376
xi,376
represent,372
weight,372
yes,371
determine,370
little,369
students,366
level,365
back,364
speed,363
win,363
takes,361
location,361
smallest,360
special,358
step,358
king,358
circle,357
unit,357
final,355
small,354
over,352
consider,352
best,352
describe,350
table,350
power,350
shortest,349
attack,349
money,348
denotes,347
still,347
off,347
world,346
column,346
question,345
pieces,344
never,343
indicate,341
group,341
during,341
corresponding,341
elements,339
hand,339
appear,336
description,335
current,335
real,334
our,332
according,331
playing,330
again,328
probability,328
rows,327
minimal,326
box,326
impossible,324
comes,323
reach,322
company,319
add,319
red,319
element,318
friends,318
common,313
state,312
positions,311
places,309
information,308
gets,307
plane,306
can't,305
meaning,305
sets,305
needed,303
build,303
base,301
job,301
polygon,299
stands,298
known,297
exists,297
energy,295
triangle,294
greater,293
within,293
water,293
big,292
being,292
defined,291
wall,289
array,289
work,289
girl,289
certain,288
function,287
bottom,287
year,287
days,287
distinct,285
expression,285
cells,284
lower,283
moves,283
squares,283
machine,282
come,281
piece,281
me,281
balls,281
binary,280
stones,279
queries,279
id,277
route,277
units,277
key,276
own,275
trees,274
terminated,272
prime,272
exceed,270
instead,269
required,269
country,269
segment,269
cut,269
series,268
valid,268
sequences,267
turns,266
friend,266
center,265
describing,265
say,265
along,264
define,263
student,263
correct,262
lot,261
largest,261
buy,261
decided,260
asked,260
floor,259
going,259
lowercase,259
price,259
enough,257
steps,257
robot,257
easy,256
coins,256
five,255
field,255
among,254
consisting,254
enemy,254
love,253
modulo,253
unique,252
names,252
station,249
columns,249
count,249
shows,249
maze,248
clockwise,248
around,248
itself,248
parts,247
including,246
whole,244
building,244
travel,244
larger,244
rectangle,243
consecutive,242
already,242
finally,241
my,240
call,240
cube,239
able,238
paper,238
represented,238
rank,238
begin,237
open,236
picture,236
pass,235
written,235
radius,235
width,235
face,234
got,233
segments,233
minutes,233
puzzle,233
smaller,233
straight,232
goal,232
permutation,232
describes,231
target,230
corner,230
grids,230
rule,230
error,230
exist,229
central,229
bi,229
light,229
house,225
important,225
rounded,224
games,224
scenario,222
tiles,218
car,218
might,217
separate,215
together,215
connecting,214
wins,214
satisfy,213
ask,213
thus,213
don't,212
processed,211
allowed,211
degree,211
giving,210
expected,210
inclusive,209
seconds,207
years,207
today,207
inside,206
old,205
moving,205
divided,205
specified,204
random,204
mm,204
stone,204
solutions,203
great,203
math,203
pi,203
others,202
except,202
home,202
chosen,202
interesting,202
placed,201
suppose,201
become,201
network,200
destination,200
root,199
upper,199
away,199
run,199
horizontal,198
life,198
local,197
interval,196
hit,196
colors,194
plan,193
recently,193
monster,193
beautiful,193
blue,193
subsequence,193
decide,192
under,192
specification,192
algorithm,190
knows,190
substring,190
highest,189
initially,189
walk,189
situation,189
cup,189
doesn't,188
visit,187
high,187
man,187
unfortunately,187
difference,187
island,187
east,185
kingdom,184
read,184
types,184
max,183
pattern,183
teacher,183
us,183
ground,182
show,182
pay,182
immediately,181
sub,181
technical,181
finish,180
north,180
played,179
complete,179
located,179
locations,179
paths,179
absolute,179
increasing,178
teams,178
chain,178
standard,177
equals,177
meet,176
connect,176
hard,175
variable,175
likes,175
planet,175
indicated,174
hero,174
quotes,174
vertical,174
longest,174
tower,174
site,174
directly,174
assigned,173
command,173
john,173
south,172
bits,172
draw,171
index,171
select,170
class,170
six,170
zeros,169
therefore,169
match,169
remaining,168
queue,168
div,167
mark,166
shape,165
star,165
difficult,164
odd,164
free,164
ll,164
poor,163
image,162
notice,161
extra,161
else,161
strategy,161
tom,161
try,160
higher,160
built,159
makes,159
child,159
pile,159
angle,159
rooms,158
marked,158
stop,158
maximal,158
street,158
sure,158
bullet,158
chess,158
said,157
stations,157
answers,157
winner,156
having,156
stand,155
sometimes,154
boy,154
gold,154
stars,154
return,153
int,153
surface,153
goes,153
axis,153
dictionary,152
instance,152
better,152
condition,152
undirected,152
ab,151
asks,151
due,151
scores,151
boss,150
front,150
optimal,150
things,150
hp,150
jack,150
details,149
ones,149
cross,149
china,148
fixed,148
results,148
object,148
product,148
boxes,148
period,147
everyone,147
st,147
think,146
am,146
keep,146
check,146
bus,146
leave,145
often,145
longer,145
appears,145
sides,145
particular,145
exact,144
soon,144
school,144
west,144
stack,144
intersection,144
region,144
loves,144
minute,143
sticks,143
finds,143
tile,143
named,143
counting,143
shanghai,142
stay,142
divide,142
degrees,142
rectangular,142
addition,142
legal,142
hold,142
few,142
solved,141
statement,141
green,141
ans,141
costs,140
mentioned,140
none,140
frog,140
door,139
dimensional,139
himself,139
xx,139
send,139
minimize,138
short,138
look,138
randomly,138
based,138
girls,138
etc,137
hole,137
convex,137
harry,137
cake,137
destroy,136
conditions,136
hour,135
remember,135
remove,135
quite,135
bad,134
available,134
far,134
land,134
food,133
soldiers,133
accepted,133
labeled,133
eat,133
denote,132
display,132
floating,132
story,132
fall,132
alphabet,131
printed,131
directions,131
capital,131
forest,131
kill,130
leading,130
half,130
bomb,130
date,130
really,130
questions,130
train,129
taken,129
average,129
party,129
pick,128
circles,127
occurs,127
town,127
exit,127
regular,127
army,127
although,127
eddy,127
structure,126
famous,126
nearest,126
shot,126
decides,125
wanted,125
generate,124
book,124
specifying,124
formed,124
